TimeStamp;Commands;Fin Strategy (ms);Encoder (ms);Decoder (ms);File register (ms);Download (ms)
1542944845745,00; Enter Strategy: Master_to_slave_coded with 2 Loses and 0 nodes;10277,00;507,00;115412,00;9703,00;115412,00
1542944845745,00; Master_to_slave_coded: Find and Shuffle nodes;;;;;
1542944845751,00; Master_to_slave_coded: nodes shuffled;;;;;
1542944845751,00; Master_to_slave_coded: Enter encoding;;;;;
1542944845788,00; Master_to_slave_coded Encoding starts with data length:10485760, symbol_size: 2621440, symbols: 4 ;;;;;
1542944846295,00; Master_to_slave_coded Encoded 8 packages successfully;;;;;
1542944846300,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb204bc5L;;;;;
1542944847498,00; Master_to_slave_coded: File (10mb) send to 0xb827eb204bc5L success;;;;;
1542944847498,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb204bc5L;;;;;
1542944847518,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb571999L;;;;;
1542944848720,00; Master_to_slave_coded: File (10mb) send to 0xb827eb571999L success;;;;;
1542944848721,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb571999L;;;;;
1542944848739,00; Master_to_slave_coded: Sending file (10mb) to 0xb827ebe78e48L;;;;;
1542944849914,00; Master_to_slave_coded: File (10mb) send to 0xb827ebe78e48L success;;;;;
1542944849914,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827ebe78e48L;;;;;
1542944849935,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb35f825L;;;;;
1542944851142,00; Master_to_slave_coded: File (10mb) send to 0xb827eb35f825L success;;;;;
1542944851142,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb35f825L;;;;;
1542944851161,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb204bc5L;;;;;
1542944852347,00; Master_to_slave_coded: File (10mb) send to 0xb827eb204bc5L success;;;;;
1542944852348,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb204bc5L;;;;;
1542944852368,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb571999L;;;;;
1542944853582,00; Master_to_slave_coded: File (10mb) send to 0xb827eb571999L success;;;;;
1542944853582,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb571999L;;;;;
1542944853601,00; Master_to_slave_coded: Sending file (10mb) to 0xb827ebe78e48L;;;;;
1542944854776,00; Master_to_slave_coded: File (10mb) send to 0xb827ebe78e48L success;;;;;
1542944854776,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827ebe78e48L;;;;;
1542944854797,00; Master_to_slave_coded: Sending file (10mb) to 0xb827eb35f825L;;;;;
1542944856003,00; Master_to_slave_coded: File (10mb) send to 0xb827eb35f825L success;;;;;
1542944856003,00; Master_to_slave_coded adding file (10mb) to ledger on MAC=0xb827eb35f825L;;;;;
1542944856022,00; Finish Strategy: Master_to_slave_coded with 2 Loses and 4 nodes;;;;;
1542944867700,00; Master_to_slave_coded Decoding 4 packages;;;;;
1542944874643,00; Master_to_slave_coded Decoding 9 packages;;;;;
1542944867668,00; Master_to_slave_coded receive file (10mb) as kodo from node with MAC=0xb827eb571999L;;;;;
1542944868864,00; Master_to_slave_coded could not decode with the amount of data given;;;;;
1542944874622,00; Master_to_slave_coded receive file (10mb) as kodo from node with MAC=0xb827eb204bc5L;;;;;
1542944874698,00; Master_to_slave_coded Finished decoding file (10mb) from node with MAC=0xb827eb204bc5L;;;;;
1542944983070,00; Master_to_slave_coded Decoding 4 packages;;;;;
1542944983048,00; Master_to_slave_coded receive file (10mb) as kodo from node with MAC=0xb827eb571999L;;;;;
1542944983112,00; Master_to_slave_coded Finished decoding file (10mb) from node with MAC=0xb827eb571999L;;;;;
