TimeStamp;Commands;Fin Strategy (ms);Encoder (ms);Decoder (ms);File register (ms);Download (ms)
1542944604605,00; Enter Strategy: Master_to_slave_replica with 2 Replication and 0 nodes;9241;;;9217;3786
1542944604605,00; Master_to_slave_replica: Find and Shuffle nodes;;;;;
1542944604608,00; Master_to_slave_replica: nodes shuffled;;;;;
1542944604608,00; Master_to_slave_replica: Sending file (10mb) to 0xb827eb571999L;;;;;
1542944609209,00; Master_to_slave_replica: File (10mb) send to 0xb827eb571999L success;;;;;
1542944609209,00; Master_to_slave_replica adding file (10mb) to ledger on MAC=0xb827eb571999L;;;;;
1542944609229,00; Master_to_slave_replica: Sending file (10mb) to 0xb827eb35f825L;;;;;
1542944613825,00; Master_to_slave_replica: File (10mb) send to 0xb827eb35f825L success;;;;;
1542944613825,00; Master_to_slave_replica adding file (10mb) to ledger on MAC=0xb827eb35f825L;;;;;
1542944613846,00; Finish Strategy: Master_to_slave_replica with 2 Replication and 4 nodes;;;;;
1542944623622,00; Master_to_slave_replica Requesting file (10mb);;;;;
1542944627408,00; Master_to_slave_replica file (10mb) Rechived;;;;;
